Place Name	Primary Description – Usually helps find location	Secondary Description – Often notes, sometiems helps find location	Dates
Mataruahou		The headland of the Bluff Hill, Napier, now overlooking the Port of Napier	12 Dec 43
Te Matata		Bay of Plenty. Colenso’s description indicates that the Rangitaiki River at this time reached the sea to the west of its present mouth. This is confirmed on Arrowsmith’s 1850 map on which the Rangitaiki and Tarawera Rivers have a common mouth. Matata is described as on the south bank and a position east of the modern town is indicated	23 Jan 44
Matatoto	our old sleeping place	On the Makaroro River, and probably close to the confluence with the Waipawa	29-30 Oct 51
Matatu	a small stream	Two and a quarter hours’ march from Huaangarua on the way to Te Ahiaruhe. Not further identified, although Porter (p. 421n quoting Bagnall) refers to the Matatu track up the Wairarapa Valley	19 Mar 46
Matauri		On Matauri Bay, opposite the Cavalli Islands, Northland	10-11 Apr 39
Matauẁi		Matauwhi Bay is immediately to the south of Kororareka Bay; the town of Russell extends southwards to the beach. Bagnall & Petersen’s map (p38) spells it Matahi	4 Jun 37
Matuku		The actual site of Matuku, later known as Kohimarama, is on the western point of the long razor-backed ridge, on the eastern knob of which is the Matuku trig. It is situated on Mr. J. Duncan’s ‘Hiwera’ station. (Bagnall & Petersen, p.257n). The pa site is now marked on the latest edition of the map	23-24 Feb 47; 3-6 Jan, 6-12 Dec 48; 23-27 Nov 49; 18-25 Oct 51; 19-23 Feb 52
Maukopakopa		Kaukopakopa, southern Kaipara Harbour	8-9 Feb 44
Maunga Nui (Maunganui)		Mt Maunganui, at the entrance to Tauranga Harbour	6, 12 Jan 38
Maunga nui	a sandy island	Te Wakatehaua Island, The Bluff, Ninety Mile Beach	30 Mar 39
Maunga Poẁatu		Maungapohatu, a prominent ridge on the western side of the Huiarau Range, overlooking the Ruatahuna valley	11 Jan 44
Maungarei		Not located and not mentioned by Buchanan. It is noted by Colenso in the entry for October 16, 1851, as having been crossed the previous day on the march over steep fern-covered hills between leaving the Ngaruroro River and reaching the Kuripapango ford. The Clematis mentioned in the Journal entry is possibly 4251 Clematis … of the list of 31 January 53	15 Oct 51
Maunga Tapu		Now an eastern suburb of Tauranga	7 Jun 38; 15-18 Jan 42; (Bagnall & Petersen p.125)
Maungatautiri	An elevated district situated nearly midway between the east and west coasts	The mountain lying to the west of Arapuni on the Waikato River	
Maunga Turoto		A village within easy riding distance of the Waimate Mission Station. Not located but not to be confused with modern Maungaturoto which is much further south	5 Feb 37
Maunu	a deserted village near Te Waiiti, Wangarei	A place called Maunu is marked on Highway 14 west of Whangarei	22 Feb 36
Mawe	Morning, rode to Mawe from Waimate	Heke’s pa Puketutu near Lake Omapere was sometimes referred to as Te Mawhe. (Porter p.344n quoting Cowan)	12 Aug 38
Mimiha		Bagnall & Petersen (p. 246) place the village of Te Mimiha on the bank of the Mohaka River,  (close to the present bridge on the Taupo-Napier highway)	11-12 Feb 47
Mimiẁangota		Mimiwhangata is on a prominent peninsula forming the southern headland of Whangaruru Bay	8 Oct 41
Moäwango River (Moeawango)	The Moawhango River rises on the western side of the Kaimanawa Mountains and flows south to join the Rangitikei southeast of Taihape		22 Feb 47; 6 Dec 48
Moeangiangi River	(Hawke’s Bay) 10 miles inland from the sea	Moeangiangi Stream reaches the coast 25 miles north by road from Napier	13-14 Dec 43; 25-26 Jul 45; 11-12 Nov 51; 28-30 Jan 52
Mohaka (Mohaka River)	A major river of northern Hawke’s Bay		14-15 Dec 43; 29-30 Jul 45; 23-25 & 29-30 Apr 46; 11-12 & 15 Feb 47; 16-17 Feb 48; 4-5 & 9 Oct 50
Mokaipatea (Mokai Patea)	The prominent ridge on the western side of the Ruahine Range descending from Rongotea to the Rangitikei River		Mentioned in the list of Jun 1850
Mokau Beach	Between Paparaumu & Owae	Mokau Bay is in Whangaruru Bay between Oakura and Helena Bays	7 Jan 41
Mokau		On the Mokau Inlet, northern shore of Waikaremoana	27-28 Dec 43
Mokoia Island	Lake Rotorua	A visit was made to the island to examine a tree, reported by local Māori, which Colenso concluded to be Vitex littoralis (V. lucens), unusual in this locality	12 Jan 42
Mokorau		Mokarau Stream is on the shore of Ahipara Bay at the southern end of Ninety Mile Beach	25 Mar 39
Motukaroro		Close to Mawhai Point, the southern headland of Tokomaru Bay	4 Dec 41
Motukino		Motukino is just south of Opepe on the Taupo-Napier highway	4 Dec 49
Te Motu o Taraia	a potatoe plantation	Bagnall & Petersen (p 206) show this at the present site of Wanstead, inland from Pakowhai on the coast of southern Hawke’s Bay province	
Motuowai (Motu-o-wae)	…a small wood on the bank of the Waipaoa (Waipawa River), and on the SW. edge of Te Ruataniẁa plain	Not located	11-12 Feb 45; 29 Dec 47; 19-20? Nov 49; 27 Feb 52
Moturoa		Moturoa was close to the site of the old military post beyond the Waipunga crossing (Bagnall & Petersen p.257n), (on the Taupo-Napier Road)	15 Feb 47
Motutere		On the eastern shore of Lake Taupo between Jellicoe Point and Motutere Point	17 Feb 47; 3-4 Dec 49
Mount Camel	Northern extremity of N. Island Above Perpendicular Point on the northern entrance to Houhora Harbour, Northland	Now known as Houhora No. 2, but known to Colenso by the alternative name of Maunga Taniwa	
Mowae		A village, now lost, in the vicinity of the Waimate Mission Station	
Mukamukanui		Bagnall & Petersen (p. 218) locate Mukamukanui at the mouth of Mukamuka Stream on the western side of Palliser Bay	6-7 Mar 46; 19 & 28-29 Apr 47; 19 May 48; 3-4 Apr 49
Murimotu		Not located but situated some 20 miles west from Matuku (Bagnall & Petersen p.287)	27 Nov 49
Napier	Napier was not formally laid out until 1856 so collections labelled as from Napier post-date that year		
Te Ngaaue Village	Ahuriri	Te Ngaue, the village of the Chief, Te Hapuku, was on the Ngaruroro River beyond Pakowhai (Bagnall & Petersen, p.237)	
Ngaawapurua		Ngawapurua is located on the north bank of the Manawatu River immediately to the east of the junction with the Mangatainoka	Mar-1 Apr, 26-28 Sep 46; 1-3 Apr, 18-19 Nov 47; 4-5 Apr, 23 Nov 48; 16-17 Mar 49; 5-6 Apr 50; 17-21 May 51; 22-23 Mar 52
Te Ngae Mission Station		On the eastern side of Lake Rotorua	7-13 Jan 42
Ngaere		Te Ngaere, opposite the Cavalli Islands, Northland	10 Apr 39
Te Ngaere	Heretaunga	Not located	Mentioned in the list of 31 January 1853
Ngamahanga		Arrowsmith’s 1850 map and Bagnall & Petersen (p. 66) show Ngamahanga on the west bank of the Whakatane River, not very far below the confluence with the Waikare Stream. Best’s map shows it on the east bank	16 Jan 44
Ngamoerangi		… the important coastal pa … long since swept away by the sea (Guthrie Smith, Tutira, 1921, p.64). Colenso indicates Ngamoerangi as being an hour’s walk from Te Kapemaihi and a short distance from Tangoio. This would suggest that the village was in the vicinity of Whirinaki Bluff, possibly on the Pakuratahi Stream	18-20 Jan 45
Ngapihao	A romantic and craggy point of land … about 2 miles from Ẁaraurangi		
Ngapihau		Not definitely located	12 Apr 51
Ngaromaki The Bluff	on Ninety Mile Beach		30 Mar, 1 Apr 39
Ngaroto		Ngaroro, summit of Ruahine. A name given by Colenso and his party to a favourite camping site on a western spur of the Ruahine Range below Te Atuaomahuru (Bagnall & Petersen, p.271n)	8-10 Jan, 13-14 Dec 48; 21-22 Nov 49
Ngaruai	2½ miles from Waikino (Bay of Islands)	Not further located	16, 23 Aug, 20 Sep 40
Ngaruawahie		Ngaruawahia, at the junction of the Waikato and Waipa Rivers	27 Jan 42 (without landing); 30 Jan 44
Ngaruroro River		Rises in the Kaimanawa Mountains and in flowing south, skirts to the west of the Kaweka Range, crosses the Takapau Plains to pass between Napier and Hastings, discharging into Hawke Bay at Clive	16 Sep 47; 13 & 16 Oct 51; 16 Feb 52
Ngatahorahora stream	Forest beyond Te Hawera	Not located	The name occurs in the list of September 1847
Te Ngau a te Hanehane (Te Ngautehangehange)	Not located unless it be the Waiotenoanga Stream, a tributary of the Waiomio		26-27 Feb 36; 13-14 Feb 44
Ngauwaka		Colenso places this about a mile NNE from Toreatai, (west of Maungapohatu)	12 Jan 44
Ngawakatatara	Ngaẁakatatara	Ngawakatatara was five miles downstream from Patangata, on a terrace on the west bank of the Tukituki (Bagnall & Petersen, p.219n)	24 Apr, 20 Oct 45; 28 Jan, 8-9 Apr, 30 Jun-1 Jul 46; 24 Mar, 22 & 27 Sep, 16 Dec 48; 9 Mar, 15-16 May, 15-16 Nov 49; 4, 6 Feb, 15-16 Apr, 11-12 & 16-17 Jul, 16 Nov 50; 27 May, 11-12 Aug, 31 Oct 51; 17 Jan, 20-21 Jul, 23 Aug, 20-22 Sep 52
Ngunguru		On the coast north of Whangarei Harbour	18-19 Dec 39; 20 Jul, 22 Sep, 5 Oct 41; 17-18 Feb 42
Nihonui	Bay of Islands	Not located	
Nukupure		A village on the coast between Hokianga and Whangape	23 Mar 39
Ohariu		At the mouth of the Ohariu Valley, commonly known as Makara, on the Cook Strait coast west of Wellington City	5-8 May 48; 4-7 Apr 49
Ohaua		On Ohau Bay, at the northern end of the Terawhiti block in the southwest corner of the Wellington peninsula	8 May 48
Ohawini		Whangaruru South. Ohawini Bay is at the western head of Whangaruru Harbour	11 Oct 41
Ohinemutu		On the western shore of Lake Rotorua	10 Jan 42
Ohineriu		On the tussock flats between the head of the Rangitaiki and Taharua Rivers, but not now marked	15-16 Feb 47
Okahu		Presumably along the Ruamahanga River between Martinborough (Huaangarua) and Te Ahiaruhe (near Carterton) but not located	10 Nov 47
Okokoro	near the present Pakipaki (Colenso, In Memoriam p.6)		4 Feb 45; 27 Feb 52
Okorewa	The small fishing village at the mouth of the lake	(Lake Onoke on Palliser Bay) (Bagnall & Petersen p.215)	24 Mar, 1-2 Apr 45
Okura		Between Pauanui and Manawarakau, mentioned only as a place where there was respite from the rocks and stones of the coast route	7 Dec 43
Omarunui			
Omoekau		About two miles inland from the mouth of the Hurupi Stream, on the Whangaimoana. (Bagnall & Petersen p.232n). Moikau is a locality on the Turanganui River, Wairarapa, a mile beyond the end of the Whakatomotomo Road, about a mile from Bagnall & Petersen’s position	3 Apr 45; 17 Mar 46
Onaua	Cook’s Straits	On Ohau Bay, at the northern end of the Terawhiti Block in the southwest corner of the Wellington Peninsula	
Onehunga		Modern Onehunga, on the northeastern shore of Manukau Harbour	5 Feb 44
Te Onepoto	Waikare	The village on Lake Waikaremoana at the outfall of the lake	24-29 Dec 41; 20-26 Dec 43
Onepoto	Mr Alexander’s trading station	On the southern side of modern Bluff Hill, Napier, and originally on the shore of Ahuriri Lagoon	
Te Onepu		Arrowsmith’s 1850 map marks Onepu on the west bank of the Whirinaki about halfway between the Okahu Stream and the Rangitaiki	4 Jan 44
Te Onetapu		The rain-shadow area to the east of the Tongariro group of volcanoes	18 Feb 47
Onewaka	on the boldly-curved bank of the river Kopau (the upper part of the Kawakawa)	Not located	1-2 Jun 36
Opaoho	a village about 4½ miles from the Kawakawa … on the brow of a very high hill	Not located	13 Oct 39; 9 Feb, 8 Mar, 10 Oct 40; 17 Jan 41
Oparapara	Ruahine Mountains; Parapara	Te Atuaoparapara (5450 feet alt.) is at the head of the Waipawa River on the main divide	The name appears in one form or another in the lists of July 1846 and 31 January 1853
Oparua		On the Makororo River. Not located and not mentioned by Buchanan	7-8 Feb 45
Opitonui	…between Tarawera and the edge of the Taupo plains (In Memoriam p.35)	Kopitonui Stream flows from Kaimatangi on the west of the Taupo-Napier Road two or three miles north of the old mineral baths at Tarawera	15 Feb 47
Oporae	(a small village lately formed on the banks of the Ngaruroro River)	Not mentioned by Buchanan	
Oputao		Oputao is a short distance southwest of Ruatahuna, Urewera	3-4 Jan 42; 29-30 Dec 43; 6-8 Jan 44
Orarotauira	A small village on the Waiohingaanga River	Not located	22 Apr, 1 May 46; 9-10 Feb 47
Orauta	about six miles distant (from Kawakawa)	The present Orauta Mission School is on the south side of the Otiria Stream at Tuhipa	10 Nov 39; 5 Jan 40
Oroi		Oroi, on a broad grassy flat sheltered by a still extensive karaka grove, was about two miles south of the present Tora station. (Bagnall & Petersen, p.219n). The Oroi Stream enters the sea about two miles north of Te Kaukau Point on the Wairarapa coast	10 Mar, 21-22 Nov 45; 27-28 Feb, 1-2 Mar, 10 Sep 46; 5-6 May, 20-21 Oct 47; 25-26 Apr, 7-8 Nov 48; 15-17 Apr 51; 7-8 Apr 52
Orona		Best 1897 (p63n) gives … Orona, or Hamaria – its modern name. The topographic maps give Hamuria as an alternative name for Halletts Bay on the eastern shore of Lake Taupo just south of the Hinemaiaia Stream which was Colenso’s access route to the lake	16-17 Feb 47
Orongorongo		At the mouth of the Orongorongo River, west of Palliser Bay	24-25 Mar, 10-11 Nov 45; 20 Apr 47
Oropa	distant about 4 miles (from Kawakawa)	Not located	17 Feb, 10 Nov 39; 5 Jan 40
Oroua River		A tributary of the Manawatu on the western side of the Ruahine Range	30 Nov-2 Dec 48
Oruhi		Oruhi was at the mouth of the Whareama River, south of Castle Point	14 Mar 45
Oruneke	part of Oruru	The Oruru River flows north into Doubtless Bay. Oruneke has not been located	8-9 Apr 39
Otahuhu		The Mission Station of W. T. Fairburn, Colenso’s father-in-law. The station was close to the shore of the modern suburb of Auckland	7-8 Feb 38; 2-4 Feb 41; Jan 43; 2-5 Feb 44
Otakahia		Three hours’ march north from Matapouri, which suggests Sandy Bay on the south side of Whananaki Inlet	19-20 Dec 39
Otamarakau		On the Bay of Plenty coast at the eastern end of Pukehina Beach	23 Jan 44
Otamarora		On the Bay of Plenty Coast. Arrowsmith’s 1850 map indicates it west of the [old] mouth of the Rangitaiki River, very close to modern Matata. Drury [1854, p.61. 6 Jun 1854] places it 2½ miles west of the junction of the Matata and Orini rivers and a mile from the mouth	23 Jan 44
Otamatea inlet	Kaipara Harbour	The Otamatea River enters the Harbour almost directly opposite the harbour entrance	12-13 Feb 42
Otanenuirangi (Tanenuiarangi)	Bagnell and Petersen (p	23) show Otanenuiarangi on the southern bank of the Ngaruroro River immediately north of Te Pakiaka Bush	
Otara		Otara was situated at a spot a mile or so from the present township of Ohingaiti. A ford existed opposite the village and was in use until badly washed out by floods in the ’nineties. The present Otara road bridge on the Ohingaiti-Rangiwahia road is slightly upstream from the old village and ford (Bagnall & Petersen, p.292n)	
Otaraia		Wairarapa valley; Oteraia. Otaraia is on the bank of the Ruamahanga River at its closest approach to the Martinborough-Lake Ferry Road	4 Apr, 6 Nov 45; 18 Mar, 16-17 Sep 46;  14-15 Apr 47; 25-26 May, 14-15 Nov 48; 29 Mar 49; 22-23 Apr 51; 31 Mar-1Apr 52
Otawao	Waikato	The Mission Station on the site of modern Te Awamutu	24-26 Jan 42
Otawao	Manawatu	Bagnall & Petersen (p. 206) show Otawhao on the west bank of the Manawatu River south of Dannevirke. They state that The village was south of Otawhao-Manawatu junction between Kumeroa and Dannervirke (p. 233n). Otawhao is a locality on the south side of the Manawatu east of Kumeroa	1-2 Apr, 28-29 Sep 46; 19-22 Nov 47
Oterango	Cook’s Straits	At the southern end of the Terawhiti block in the southwest corner of the Wellington peninsula	8 May 48
Otihere		Otiere … pa, on Ihooterei Island (Buchanan p.162), (on the old Ahuriri Lagoon)	19 Jun 49
Otiki		Colenso gives the Māori name for East Cape as Otiki; it is also the name of the trig station at the Cape	17 Jan 38; 25 Nov 41
Otuihu		Otuihu was situated on the upper harbour on a bluff on the south headland of Waikare Inlet (Bay of Islands) (Bagnall & Petersen, p.64n)	Colenso records numerous visits at roughly monthly intervals from February 1835 to October 1839
Otukopeka		Arrowsmith’s 1850 map shows a hill so named west of Ahikereru, Urewera. It is marked by a modern trig	1 Jan 44
Otumoetai		Now a suburb of Tauranga	7-10 Jun 38; Jan 42 (15-18 in Bagnall & Petersen, p.125)
Oturereawa River		Otureawa River Otuareiawa Stream joins the Moawhango River just north of the latter’s confluence with the Rangitikei. This is just below the site of Matuku pa	28 Oct 51
Otuẁareana	a small wood	About two miles south of Otaraia, on the Ruamahanga River, Wairarapa	3-4 Apr 45
Oue		Colenso gives this as 1½ hours, about 5 miles, from Kawakawa, but it has not been further located	18 Nov 38
Ouepoto	A sandy flat … near Cape Turnagain	Arrowsmith’s 1850 map shows Uepoto just north of Black Head. This corresponds with modern Aramoana, and should not be confused with Te Onepoto south of Waimarama. Colenso’s spelling is consistent and is supported by Arrowsmith’s version	6 Dec 43; 12-13 Feb 46; 27-28 Oct 48; 5-6 Mar, 26-27 Nov 50; 29 Apr-1 May 52
Owae		Bagnall & Petersen (p. 38) place this on Helena Bay, Whangaruru Bay, presumably near the mouth of the Owai Stream which flows into the southwest corner of Helena Bay	13-17 Feb 36; 21-24 Jun, 26-30 Sep, 21-23 Dec 39; 7-8 Jan, 14-16 Aug, 20-22 Sep, 8-11 Oct 41; 18-21 Feb 42
Owahanga River		North of the Mataikona River and apparently not to be confused with the settlement on the north side of the Mataikona River mouth	28 Nov 45; 28 Aug 46; 6 Jun 48; 1-2 May 49
Oẁakau		On the Tutaekuri River near the point where the ascent of Kuripapango (Te Kohurau) began, but not located	14 Feb 52
Oẁiorangi		Owiorangi appears on Arrowsmith’s 1850 map as on the west bank of the Waikare River near Warau, Urewera. This indicates a position near Otahuao	12 Jan 44
Paharakeke	(a small wood)	Paharakeke Stream drains into Rangatea Lagoon near the southern end of Lake Wairarapa	6 Nov 45; 18 Mar 46
Paharakeke Wood	near Patea	This locality does not appear in the Journal but in the list of 31 January 1853, and might possibly be a confusion with the Wairarapa wood of the same name. The specimen, 4257 Hymenophyllum, is not represented at WELT so no decision based on phytogeographic considerations can be made	
Pahawa		The Pahaoa River on the Wairarapa coast	18 Mar, 22-24 Nov 45; 25-27 Feb, 8-9 Sep 46; 6-10 May, 16-19 Oct 47; 20-24 Apr, 4-7 Nov 48; 24-26 Apr 49; 16-19 Mar 50; 12-14 Apr 51; 10-14 Apr 52
Pahiatua	near the R. Manawatu	Modern Pahiatua on the Mangatainoka River south of its junction with the Manawatu	This locality does not occur at all in the Journal, but appears fairly commonly in the lists after 1848
Pahitaua		Arrowsmith’s 1850 map shows Pahitaua as close to the east bank of the Whakatane. Colenso travelled ENE to Pahitaua before turning southeast to Te Rangaataneiti, which would indicate Pahitaua as being in the vicinity of the hill now known as Rangiahua	10 Jan 44
Paihia	Bay of Islands		Colenso was in residence here from 31 December 1834 until 12 June 1843
Pakarae		… at the northern end of Whangara Bay, at the mouth of the Pakarae stream. (Bagnall & Petersen, p.136n) (about four miles south of Gable End Foreland)	8-9 Dec 41; 30 Oct 43
Pakaraka		On the main highway between Kawakawa and Ohaeawai. Colenso described it as (Mr Edward Williams’) farm about 13 miles inland from Paihia	15 Apr 39
Pakaraka	4 miles from Pihoi in the Ẁangarei district	In 1841, Pakaraka was reached from Pataua in half a day. From Pakaraka the Bay was crossed to Pohue and recrossed to Tamatarau. This suggests that Pakaraka was at the head of Whangarei Harbour, on the present site of Whangarei	10 Dec 39; 27-28 Sep 41
Pakarau		Pakarau was reached in 2½ hours’ travelling northwest and west from Tapiri Assuming Tapiri and Matamata to be the same or contiguous places, Pakarau would have been in the vicinity of modern Morrinsville	
Pakeaka	Te, Forest, nr. Mission Station, Hawkes Bay	Shown by Bagnall and Petersen (p 237) as being some two miles west of the mouth of the Tukituki River	
Te Pakiaka	near Station, Ahuriri	Bagnall & Petersen (p. 237) show Pakiaka Bush on the approximate site of Mangateretere south of Whakatu	The name does not appear in the Journal, but first appears in the list of 22 December 1846
Pakoẁai	Te Pakowai village –  near the 2 teeth	Bagnall & Petersen (p. 206) show Pakowhai at Black Head (Parimahu). Colenso, however, in an undated list, described it as near ‘the 2 Teeth’. Arrowsmith’s 1850 map shows the 2 teeth as about halfway between Porangahau and Cape Turnagain. Arrowsmith would appear to have confused the 2 Teeth with Cook’s Tooth	13 Feb, 22 Aug 46; 24-25 May, 5-6 Oct 47; 12-13 Jun, 28 Oct 48
Pakuku		Bagnall & Petersen (p. 217n) suggest that this is the present Papuku Stream, south of Cape Turnagain	10-11 Mar 45; 16 Apr, 24-25 Oct, 29 Nov 45; 17-19 Feb, 26-28 Aug 46; 19-20 May, 9-11 Oct 47; 30-31 Oct 48
Pakura	Dense forests near Ruatahuna	Not located	
Palliser Bay		The deep, wide bay at the southern end of the North Island	19-25 Mar, 1-3 Apr, 6-11, 18-21 Nov 45; 2-7, 13-17 Mar, 11-16 Sep 46; 15-20 & 28 Apr-5 May, 21-27 Oct 47; 26 Apr-2 May, 8-13 Nov 48; 29 Mar-3 Apr 49; 17-19 Apr 51
Pamateao		Described by Colenso as a desert beach and as a point 20 miles N. of Cape Palliser but the name has not been found on any maps including those of Arrowsmith	7 Apr 52
Panekiri (Panekire)	Panekiri Range on the southern shore of Waikaremoana but not mentioned in the Journal		21-26 Dec 43
Te Papa		Not located, but presumably on the northern Rangitaiki Plains	5-7 Dec 49
Te Papa		Mission Station, Tauranga	5-12 Jan 38; 25-26 Jan 44
Papakoẁatu		Arrowsmith’s 1850 map shows this on the east bank of the Whakatane, below the Waimana confluence	20 Jan 44
Papakura plains		On the east shore of Manukau Harbour	1-2 Feb 44
Paparaumu (Paparaaumu)	Bagnall & Petersen ( p. 38) show this north of Owae, in the approximate position of modern Mokau on the Whangaruru Harbour	The name does not appear on modern maps	24 Jun, 30 Sep-1 Oct, 23 Dec 39; 6-7 Jan, 16-17 Aug 41
Parae		Appears on a few wrappings Not a locality but a Māori word meaning undulating or level country	
Parangahau	Cook’s Straits	Probably a slip for the following	
Parangarahu		Parangarahu was … on the flat before Baring Head, to the east of the Paiaka Stream (Bagnall & Petersen, p.219n)	
Paremata Hill	A high, conical hill between Whangaruru & Waikare	Paremata, 1280 feet alt., is inland from Helena Bay, Whangaruru Harbour	16 Apr 35
Paratetaitonga		The northern peak of the Ruapehu summit crater. Colenso appears to use the name interchangeably with Ruapehu	28 Nov 49
Pareranui	Eastern side of Taupo plains	Pareranui Stream is one of the tributary streams of the Waipunga River east of Pohokura on the Taupo-Napier Highway	The locality would have been passed on or about 15 February 1847 and indicates that Colenso’s route lay west of the present highway
Parewarewa	On the west bank of the Whakatane River, 1½ miles downstream from Tahunaroa		20 Jan 44
Parikarangaranga	On the Turanganui River, Wairarapa	Pakarangaranga is a trig point to the north of the river about two miles from the junction of the Pirinoa and Whakatomotomo Roads	3 Apr 45; 29-30 Mar 49
Parimahu		Black Head, on the East Coast south of Cape Kidnappers	6 Dec 43; 6-7 Mar, 1-2 Dec 45; 6 Mar 50; 27-28 Mar 51; 28 Apr 52
Parinuiotera		Gable End Foreland, north of Poverty Bay	25 Jan 38; 8 Dec 41
Paripokai	Nr. River Wangaehu, Taupo	Not located	
Paroa Bay (Paro Bay)	On the south shore of the main channel of the Bay of Islands, and east of Russell		30 May, 3 Jul 36
Parua		On Parua Bay, a deep bay on the north shore of Whangarei Harbour	2-4 Oct 41
Patangata		On the bank of the Tukituki River, east of Waipawa	23-24 Apr, 20 Sep, 20 Oct 45; 28-29 Jan, 8 Apr, 24-25, 30 Jun, 5-6 Oct 46; 9, 13-14 Jan, 2-3, 25 Mar, 10-11 Sep, 27-29 Nov 47; 24 Mar, 22-23, 26-27 Sep, 16-18 Dec 48; 9 Mar, 16-21 May, 16-17 Oct 49; 4-6 Feb, 13-15 Apr, 15-16 Jul, 16-19 Nov 50; 9-11 Aug, 31 Oct 51; 17-19 Jan, 21 Sep 52
Pataua	Pataua Creek, near Wangarei, E. Coast	At the southern end of Ngunguru Bay	27 Sep 41
Patea	Western base of Ruahine range	The statement in In Memoriam ( p. 72) that two visits were made in 1852, the second in May, is not borne out by the Journal. The events described occurred on the February 1852 visit	23-24 Feb 47; 1-3, 6-7 Jan, 6-13 Dec 48; 22-27 Nov 49; 18-27 Oct 51; 19-24 Feb 52
Pauanui (?Black Head)	Paoanui Point is north of Tuingara and thus considerably north of Black Head or Parimahu	Colenso appears to have mistakenly applied Cook’s name in the earlier instances	7 Dec 43; 6 Mar 45; 13-14 Jun 48
Pepepe		B. Y. Ashwell’s Mission Station on the Waikato River. Colenso took an hour to travel by canoe from Ngaruawahia downstream to Pepepe, and Arrowsmith’s 1850 map shows it on the west bank well below the Waipa junction. Cowan (1922, illustration p.24-25) shows Ashwell’s station, Kaitotehe, opposite Taupiri. Pascoe (Exploration in N.Z. 1971, p.20) also refers to Pepepe Mission Station … Near Taupiri …	30-31 Jan 44
Petane (Petani)	A few miles north of Ahuriri at the northern end of the old lagoon and at the mouth of the Esk River	The name, a rendering of Bethany, is a replacement for Te Kapemaihi. The change could possibly have taken place at Christmas 1848. The Native Teacher, Paul Toki, is named for both place names. Lambert ( p. 312) has another name, Kaiarero, as the old name for Petane, but does not mention Te Kapemaihi. Buchanan ( p. 168) cites yet another name, Oharua	30-31 Jan, 14-15, 18-19 Jun, 12-13 Dec 49; 11-12, 14-15 Jan, 9-10, 15-20 May, 17-18 Jun, 2-3 Oct, 20-21, 23-24 Dec 50; 1-3, 5-10 Mar, 2-4 Jun, 27-29 Sep 51; 13 Nov, 16-17 Dec 51; 10-13, 30-31 Jan, 5-7 Jun, 1-3 Jul, 11-12, 14, 26-27 Aug 52
Piarere Ravine		On Lake Karapiro, Waikato River, where the river turns abruptly from north to west	21 Jan 42
Pihoe (Pihoi)	Bagnall & Petersen ( p. 38) show this at the southwest corner of modern Whangarei		9-11, 14-17 Dec 39; 30 Sep 41
Pikitanga	Ruahine Forest Pikitanga on R. Makororo	Not a locality name, but a Māori word meaning ascent, as of a mountain, in this case the Ruahines This is an interesting instance of Colenso’s bilingualism	
Pipi	About a mile and quarter from Te Kape	Downstream from present-day Ruatahuna. Arrowsmith’s 1850 map shows it on the east bank of the Whakatane River	8-9 Jan 44
Pirapirau	A small village in the Tarawera district (In Memoriam, p.34)	Not located. The Journal does not mention it	12-15 Feb 47
Pirau	River, Tutaekuri	Not located Buchanan (Map 3) shows a locality Pirau on the stream flowing into Lake Oingo which might be that intended by Colenso	
Te Pito		Te Pito Stream reaches the sea at Waikori Bluff, three miles south of East Cape	25-26 Nov 41
Pitokuku		Pitokuku Point is at the southern end of the sand spit which forms the south head of Whananaki Inlet	7 Oct 41
Pitoone		Modern Petone, at the northern end of Wellington Harbour	25-26, 30-31 Mar, 11, 13-17 Nov 45; 7-9, 11-12 Mar 46; 20, 23-28 Apr, 27-28, 30-31 Oct, 1-4 Nov 47; 3 May, 13-15, 17-18 May 48; 3-4, 7-9, 14-17 Apr 49
Pohatupapa		This appears to be the same as the present locality of Blackhead, north of the promontory of that name, which identification is supported by Buchanan ( p. 168)	6 Dec 43; 8-9 May 49
Te Pohue	Hawke’s Bay	On Highway 5 from Napier to Taupo, 29 miles from Napier	23 Apr 46; 29-30 Jan 49
Te Poraiti		On the west shore of the Inner Harbour, Ahuriri, about opposite the entrance	16-18 Jun 45; 23 Jun 47; 17 Oct 48; 16 Jan 50; 29 Jun 52
Porangahau		On the Porangahau River between Black Head and Cape Turnagain, about 50 miles south of Cape Kidnappers	4-6 Dec 43; 17-21 Apr, 22-24 Oct, 29 Nov-1 Dec 45; 13-17 Feb, 22-26 Aug 46; 20-24 May, 6-7 Oct 47; 9-12 Jun, 28-30 Oct 48; 5-8 May 49; 22-26 Nov 50; 28 Mar-1 Apr 51; 24-28 Apr 52
Porokanae		A little village near Haruru, presumably on the Waitangi River, Bay of Islands	26 May 39
Poroutaẁao	8 or 9 miles (north from Waiorongo and) about 2 miles (from Mataikona)	Not mentioned by Colenso on other journeys along this coast. It may be the same as Te Rerenga of Arrowsmith’s 1850 map	16 Nov 43
Port Nicholson		Wellington Harbour	25-31 Mar, 11-17 Nov 45; 7-12 Mar 46; 3-17 Apr 49
Porua	A steep hill on upper reaches of Wairua River, Ẁangarei	Porua, a hill near the west bank of the Wairua, northwest from Whangarei	25-26 Feb 36
Poukawa	Ahuriri	Poukawa Lake lies to the west of the Tukituki River, 11 miles south of Hastings	
Pounga	a little deserted village (on the Rangitikei River upstream from Otara, present Ohingaiti, but not located)		4-5 Dec 48
